sub,session_onset,session_offset,total_session_duration
1,0,901.501502,901.501502
5,0,907.874541,907.874541
7,0,931.965299,931.965299
8,0,916.48315,916.48315
10,0,919.652986,919.652986
11,0,906.306306,906.306306
12,0,907.307307,907.307307
13,0,901.795796,901.795796
17,0,901.501502,901.501502
18,0,908.074741,908.074741
19,0,910.076743,910.076743
22,0,906.77344,906.77344
23,0,902.402402,902.402402
25,0,904.037371,904.037371
26,0,904.537871,904.537871
27,0,905.638972,905.638972
28,0,905.672339,905.672339
29,0,907.207207,907.207207
30,0,903.570237,903.570237
31,0,905.905906,905.905906
33,0,901.434768,901.434768
34,0,905.905906,905.905906
36,0,924.257591,924.257591
37,0,903.03637,903.03637
38,0,904.371038,904.371038
39,0,905.005005,905.005005
40,0,919.61962,919.61962
41,0,903.43677,903.43677
42,0,904.304304,904.304304
45,0,913.780447,913.780447
47,0,904.004004,904.004004
48,0,903.503504,903.503504
50,0,902.535869,902.535869
51,0,902.635969,902.635969
52,0,906.072739,906.072739
55,0,906.47314,906.47314
56,0,906.639973,906.639973
58,0,912.579246,912.579246
59,0,912.912913,912.912913
60,0,916.349683,916.349683
62,0,914.347681,914.347681
64,0,913.880547,913.880547
68,0,909.90991,909.90991
69,0,908.274942,908.274942
71,0,909.442776,909.442776
73,0,606.67334,606.67334
74,0,603.937271,603.937271
75,0,605.372039,605.372039
76,0,909.50951,909.50951
77,0,907.307307,907.307307